espn_team_id,name,nickname,abbreviation,logo,display_name,short_display_name
1336142,Pakistan Women Under-19s,Pakistan Women Under-19s,PAK-W,https://a.espncdn.com/i/teamlogos/cricket/500/1336142.png,Pakistan Women Under-19s,PAK-W
1133698,Sharjah Warriors,Sharjah Warriors,SW,https://a.espncdn.com/i/teamlogos/cricket/500/1133698.png,Sharjah Warriors,SW
2298,Nairobi Gymkhana,Nairobi Gymkhana,,,Nairobi Gymkhana,
1628,Cricket Club of India,Cricket Club of India,CCInd,,Cricket Club of India,CCInd
3617,Sri Lanka Under-19s,Sri Lanka Under-19s,SL19,https://a.espncdn.com/i/teamlogos/cricket/500/3617.png,Sri Lanka Under-19s,SL19
446786,Bangladesh Under-21s,Bangladesh Under-21s,BD21,,Bangladesh Under-21s,BD21
430682,Legends of Rupganj,Legends of Rupganj,LOP,https://a.espncdn.com/i/teamlogos/cricket/500/430682.png,Legends of Rupganj,LOP
3088,Sui Northern Gas Pipelines Limited,Sui Northern Gas Pipelines Limited,SNGP,https://a.espncdn.com/i/teamlogos/cricket/500/3088.png,Sui Northern Gas Pipelines Limited,SNGP
50864,Dharmaraja College,Dharmaraja College,Dharm,,Dharmaraja College,Dharm
1199394,Northern (Pakistan),Northern (Pakistan),NORTH,https://a.espncdn.com/i/teamlogos/cricket/500/1199394.png,Northern (Pakistan),NORTH
301168,Ireland Under-23s,Ireland Under-23s,,,Ireland Under-23s,
1323141,Guyana Amazon Warriors Women,Guyana Amazon Warriors Women,GAW-W,https://a.espncdn.com/i/teamlogos/cricket/500/1323141.png,Guyana Amazon Warriors Women,GAW-W
2731,Gujranwala Cricket Association,Gujranwala Cricket Association,,,Gujranwala Cricket Association,
1323615,Maple Leaf Cricket Club XI,Maple Leaf Cricket Club XI,MLCC,,Maple Leaf Cricket Club XI,MLCC
2453,VOC Women,VOC Women,,,VOC Women,
86,Greece,Greece,GRC,https://a.espncdn.com/i/teamlogos/cricket/500/86.png,Greece,GRC
305810,Hyderabad Districts XI,Hyderabad Districts XI,,,Hyderabad Districts XI,
3827,Manicaland,Manicaland,,,Manicaland,
2576,Otago Women,Otago Women,OTG-W,https://a.espncdn.com/i/teamlogos/cricket/500/2576.png,Otago Women,OTG-W
494776,Prime Doleshwar Sporting Club,Prime Doleshwar Sporting Club,PDSC,https://a.espncdn.com/i/teamlogos/cricket/500/494776.png,Prime Doleshwar Sporting Club,PDSC
422081,Indian Tobacco Company,Indian Tobacco Company,,,Indian Tobacco Company,
500731,Lahore Under-19s Women,Lahore Under-19s Women,,,Lahore Under-19s Women,
1080379,Jaipur Pink City Royals,Jaipur Pink City Royals,JPCR,,Jaipur Pink City Royals,JPCR
167,World Masters,World Masters,,,World Masters,
153,Sweden,Sweden,SWE,https://a.espncdn.com/i/teamlogos/cricket/500/153.png,Sweden,SWE
7,Pakistan,Pakistan,PAK,https://a.espncdn.com/i/teamlogos/cricket/500/7.png,Pakistan,PAK
386879,KwaZulu-Natal Women,KwaZulu-Natal Women,KznWm,,KwaZulu-Natal Women,KznWm
3614,Sri Lanka Schools XI,Sri Lanka Schools XI,,,Sri Lanka Schools XI,
233882,Rest of Pakistan Under-19s,Rest of Pakistan Under-19s,ROP19,,Rest of Pakistan Under-19s,ROP19
2059,Rest of India,Rest of India,ROI,https://a.espncdn.com/i/teamlogos/cricket/500/2059.png,Rest of India,ROI
1496,Germany Women,Germany Women,GER-W,https://a.espncdn.com/i/teamlogos/cricket/500/1496.png,Germany Women,GER-W
128,Philippines,Philippines,PHI,https://a.espncdn.com/i/teamlogos/cricket/500/128.png,Philippines,PHI
3605,Sri Lanka Development Emerging Team,Sri Lanka Development Emerging Team,SL-EM,,Sri Lanka Development Emerging Team,SL-EM
2541,New Zealand Academy,New Zealand Academy,,,New Zealand Academy,
3210,Eastern Province B,Eastern Province B,,,Eastern Province B,
344,Manly-Warringah,Manly-Warringah,Manly,,Manly-Warringah,Manly
424048,Bangalore Brigadiers (Urban),Bangalore Brigadiers (Urban),,,Bangalore Brigadiers (Urban),
3621,Sri Lanka Women,Sri Lanka Women,SL-W,https://a.espncdn.com/i/teamlogos/cricket/500/3621.png,Sri Lanka Women,SL-W
