id,position,cricsheet_name,unique_name,batting_style,bowling_style,matchpoints_avg,cost
7bbeac6d,Bowler,GH O'Brien,GH O'Brien,Right-hand bat,Right-arm fast-medium,19.72,7
54725e8b,Batter,IH Romaine,IH Romaine,Right-hand bat,Right-arm offbreak,9.826086957,7
01d5f279,Allrounder,JA DeSilva,JA DeSilva,Left-hand bat,Left-arm fast-medium,21.36111111,7
4dc6fd02,Opening batter,J Anderson,Jason Anderson,Right-hand bat,,12.5,7
a84cd292,Unknown,J Basden,J Basden,,,,6
e8c00c13,Unknown,JDA Richardson,JDA Richardson,Right-hand bat,,2.666666667,7
80782209,Unknown,JDP Albertze,JDP Albertze,Right-hand bat,,2,7
74487d79,Batter,J Edness,J Edness,Right-hand bat,,14.33333333,7
db3f0650,Bowler,J Gilbert,J Gilbert,Right-hand bat,Right-arm offbreak,18.28571429,7
ab126ea8,Allrounder,JE Pitcher,JE Pitcher,Left-hand bat,Right-arm medium-fast,7.375,7
6ae9c751,Batter,JJ Celestine,JJ Celestine,Right-hand bat,Right-arm slow-medium,8,7
889010bb,Unknown,JM Stovel,JM Stovel,Right-hand bat,Right-arm medium,,7
bceb1b07,Allrounder,JJ Tucker,JJ Tucker,Right-hand bat,Right-arm medium,17.1015625,7
a5901a94,Unknown,J Richardson,J Richardson,,,,7
81c9dbbc,Unknown,J Smith,J Smith,Right-hand bat,,30,8
d46933ed,Unknown,J West,J West,Right-hand bat,Right-arm medium-fast,11.26666667,7
056f58dd,Middle-order batter,KC Hodsoll,KC Hodsoll,Right-hand bat,Right-arm medium-fast,17.83333333,7
543d3e69,Unknown,KAD Hurdle,KAD Hurdle,Right-hand bat,Right-arm fast,29.24137931,8
4cfc2dc0,Unknown,KE Bashir,KE Bashir,Right-hand bat,Right-arm medium,8.923076923,7
928b7f1b,Unknown,K Furbert,K Furbert,,,-0.666666667,7
69649715,Unknown,JT Darrell,JT Darrell,Right-hand bat,Left-arm medium-fast,17.3125,7
822c7f08,Unknown,K Gibbons,K Gibbons,,,,8
f9a87783,Batter,KL Tucker,KL Tucker,Right-hand bat,,6.555555556,7
0f652c21,Unknown,KS James,KS James,Right-hand bat,Right-arm medium,4.583333333,7
e1592949,Unknown,KS Leverock,KS Leverock,Left-hand bat,Right-arm medium-fast,18.94915254,7
dd0ecb8b,Unknown,K Tucker,K Tucker,Right-hand bat,Left-arm medium-fast,32.55555556,8
4487cc09,Allrounder,LOB Cann,LOB Cann,Right-hand bat,Right-arm medium,12.46666667,7
1f6fce82,Unknown,L Harnett,L Harnett,,,,7
8f207fbf,Unknown,Mark McCormack,Mark McCormack,,,,7
b561eea1,Middle-order batter,M Simmons,M Simmons,Right-hand bat,Right-arm medium,1.833333333,7
